City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Teguldet,RU,2021-12-06 21:42:46,57.3064,88.1667,24.46,95,100,8.9
178,Salalah,OM,2021-12-06 21:38:56,17.0151,54.0924,75.29,33,0,8.05
179,Nuuk,GL,2021-12-06 21:41:29,64.1835,-51.7216,21.81,86,75,14.97
180,Dickinson,US,2021-12-06 21:37:32,29.4608,-95.0513,68.95,88,75,4.0
181,Geraldton,AU,2021-12-06 21:41:37,-28.7667,114.6,75.61,46,0,14.97
182,Bonavista,CA,2021-12-06 21:43:48,48.6499,-53.1147,32.11,56,87,11.27
183,San Patricio,US,2021-12-06 21:43:48,28.017,-97.5169,73.81,58,100,18.95
184,Renqiu,CN,2021-12-06 21:43:49,38.6989,116.0936,34.68,50,0,2.13
185,Whitehorse,CA,2021-12-06 21:42:52,60.7161,-135.0538,0.37,85,90,11.5
186,Sri Aman,MY,2021-12-06 21:43:49,1.2376,111.4621,77.09,94,100,0.0
187,Shenkursk,RU,2021-12-06 21:43:49,62.1091,42.896,-6.25,99,7,2.82
188,Boguchany,RU,2021-12-06 21:43:50,58.3814,97.4531,27.43,95,100,5.26
189,Dingle,PH,2021-12-06 21:43:50,10.9995,122.6711,74.32,87,96,5.06
190,Lazaro Cardenas,MX,2021-12-06 21:43:50,17.9583,-102.2,84.16,61,9,9.15
191,La Libertad,EC,2021-12-06 21:43:51,-2.2333,-80.9,76.66,73,40,11.5
192,Baghdad,IQ,2021-12-06 21:43:51,33.3406,44.4009,59.45,42,71,7.23
193,Esperance,AU,2021-12-06 21:43:51,-33.8667,121.9,55.24,66,22,11.81
194,Kahului,US,2021-12-06 21:33:03,20.8947,-156.47,77.97,96,90,13.8
195,Hobyo,SO,2021-12-06 21:43:52,5.3505,48.5268,78.26,75,10,14.74
196,Karpathos,GR,2021-12-06 21:43:52,35.507,27.2132,64.36,72,57,13.8
197,Vanavara,RU,2021-12-06 21:43:52,60.34,102.2797,2.55,100,100,3.06
198,Ahuimanu,US,2021-12-06 21:43:53,21.4447,-157.8378,74.91,80,90,10.36
199,Bubaque,GW,2021-12-06 21:43:53,11.2833,-15.8333,81.63,77,75,14.79
200,Torbay,CA,2021-12-06 21:42:51,47.6666,-52.7314,32.68,75,75,3.44
201,Vostok,RU,2021-12-06 21:43:53,46.4856,135.8833,7.75,99,99,4.32
202,Voh,NC,2021-12-06 21:43:54,-20.9667,164.7,85.96,59,0,1.07
203,Kendari,ID,2021-12-06 21:43:54,-3.945,122.4989,76.64,88,100,5.14
204,Nioro,GM,2021-12-06 21:43:54,13.35,-15.75,80.46,13,43,6.49
205,Ruteng,ID,2021-12-06 21:43:55,-8.6136,120.4721,62.44,93,97,1.72
206,Longyearbyen,SJ,2021-12-06 21:40:37,78.2186,15.6401,35.44,69,75,26.46
207,Monte Alegre,BR,2021-12-06 21:43:55,-2.0078,-54.0692,82.65,64,100,2.82
208,Hays,US,2021-12-06 21:43:55,30.0502,-98.0336,62.1,41,81,7.0
209,Sept-Iles,CA,2021-12-06 21:43:56,50.2001,-66.3821,27.12,96,90,13.0
210,Ahipara,NZ,2021-12-06 21:43:56,-35.1667,173.1667,70.61,76,100,8.63
211,Bourges,FR,2021-12-06 21:43:56,47.25,2.4167,43.97,94,93,11.77
212,Nikolskoye,RU,2021-12-06 21:41:32,59.7035,30.7861,4.91,96,100,3.83
213,Cayenne,GF,2021-12-06 21:43:56,4.9333,-52.3333,78.84,88,90,0.0
214,Ishigaki,JP,2021-12-06 21:43:57,24.3448,124.1572,71.73,73,40,20.71
215,Adrar,MR,2021-12-06 21:43:57,20.5022,-10.0711,64.26,16,99,11.32
216,Kruisfontein,ZA,2021-12-06 21:43:58,-34.0033,24.7314,60.89,93,81,5.46
217,Barrow,US,2021-12-06 21:37:38,71.2906,-156.7887,24.82,74,1,17.27
218,Rupert,US,2021-12-06 21:43:58,42.6191,-113.6772,42.75,49,90,3.44
219,Toropets,RU,2021-12-06 21:43:58,56.4978,31.6353,25.61,96,100,4.88
220,Missoula,US,2021-12-06 21:43:59,47.0166,-113.8009,19.85,87,100,4.25
221,Seymchan,RU,2021-12-06 21:43:59,62.8833,152.4333,-46.05,97,71,2.04
222,Lishui,CN,2021-12-06 21:43:59,28.4604,119.9103,45.23,84,0,2.24
223,Porto Novo,BJ,2021-12-06 21:38:52,6.4965,2.6036,84.02,82,83,8.12
224,Wahiawa,US,2021-12-06 21:44:00,21.5028,-158.0236,71.92,92,100,6.78
225,Matara,LK,2021-12-06 21:44:00,5.9485,80.5353,75.16,91,35,4.5
226,Bengkulu,ID,2021-12-06 21:44:00,-3.8004,102.2655,74.97,90,100,4.23
227,Yarada,IN,2021-12-06 21:44:01,17.65,83.2667,75.52,94,20,3.44
228,Thinadhoo,MV,2021-12-06 21:44:01,0.5333,72.9333,81.7,76,63,15.99
229,Moyale,KE,2021-12-06 21:44:01,3.5167,39.0584,68.32,54,52,5.28
230,Montepuez,MZ,2021-12-06 21:45:02,-13.1256,38.9997,71.19,76,90,5.28
231,Yar-Sale,RU,2021-12-06 21:45:02,66.8333,70.8333,7.32,94,96,6.53
232,Balyaga,RU,2021-12-06 21:45:02,51.1507,108.921,2.25,98,45,0.98
233,Andilamena,MG,2021-12-06 21:45:03,-17.0167,48.5833,61.02,94,28,3.6
234,Nemuro,JP,2021-12-06 21:45:03,43.3236,145.575,42.3,78,1,10.83
235,Chimbote,PE,2021-12-06 21:41:22,-9.0853,-78.5783,69.1,79,99,10.29
236,Provideniya,RU,2021-12-06 21:45:03,64.3833,-173.3,14.36,73,75,17.9
237,La Ronge,CA,2021-12-06 21:45:04,55.1001,-105.2842,-7.35,64,75,2.3
238,Manoel Urbano,BR,2021-12-06 21:45:04,-8.8389,-69.2597,73.54,98,100,3.02
239,Ribeira Grande,PT,2021-12-06 21:45:05,38.5167,-28.7,64.8,68,75,16.11
240,Ljungby,SE,2021-12-06 21:45:05,56.8332,13.9408,22.8,91,98,7.52
241,Asfi,MA,2021-12-06 21:45:05,32.2994,-9.2372,56.68,78,0,18.34
242,Kemi,FI,2021-12-06 21:45:06,65.8596,24.8228,-11.43,77,0,5.75
243,Linhares,BR,2021-12-06 21:40:49,-19.3911,-40.0722,70.97,97,100,2.08
